Vivado Simulator 2020.2
Time resolution is 1 ps
File was opened successfully:      -20000
[0-1] ctrl=[0010], signal=[0000000], alu=[0xxxxxxxxxxxxxxxxx], mid=[0xxxxxxxxxxxxxxxxxx] pc=[0xxxxxxxxxxxxxxxxx]
[220000-2] alu_in1=[0x0000000000000001], alu_in2=[0xfffffffffffffffd], rd_din=[0x0000000000000004], func3=[000]
[240000-1] ctrl=[0010], signal=[0000110], alu=[0x0000000000000011], mid=[0x1fffffffffffffefe] pc=[0x0000000000000024]
[240000-2] alu_in1=[0xfffffffffffffffd], alu_in2=[0x0000000000000014], rd_din=[0x0000000000000011], func3=[000]
[260000-1] ctrl=[0010], signal=[0000110], alu=[0x0000000000000012], mid=[0x1fffffffffffffefe] pc=[0x0000000000000028]
[260000-2] alu_in1=[0xfffffffffffffffd], alu_in2=[0x0000000000000015], rd_din=[0x0000000000000012], func3=[001]
[280000-1] ctrl=[0010], signal=[0000110], alu=[0x0000000000000013], mid=[0x1fffffffffffffefe] pc=[0x000000000000002c]
[280000-2] alu_in1=[0xfffffffffffffffd], alu_in2=[0x0000000000000016], rd_din=[0x0000000000000013], func3=[010]
[300000-1] ctrl=[0010], signal=[0000011], alu=[0x000000000000003f], mid=[0x1fffffffffffffefe] pc=[0x0000000000000030]
[300000-2] alu_in1=[0x0000000000000000], alu_in2=[0x000000000000003f], rd_din=[0x000000000000003f], func3=[000]
[320000-1] ctrl=[0100], signal=[0000001], alu=[0x0000000000000001], mid=[0x1fffffffffffffefe] pc=[0x0000000000000034]
[320000-2] alu_in1=[0xfffffffffffffffd], alu_in2=[0x000000000000003f], rd_din=[0x0000000000000001], func3=[101]
[340000-1] ctrl=[0010], signal=[0000011], alu=[0x0000000000000014], mid=[0x1fffffffffffffefe] pc=[0x0000000000000038]
[340000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000014], rd_din=[0x0000000000000014], func3=[000]
[360000-1] ctrl=[0110], signal=[0000001], alu=[0xffffffffffffffec], mid=[0x1fffffffffffffefe] pc=[0x000000000000003c]
[360000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000014], rd_din=[0xffffffffffffffec], func3=[000]
[380000-1] ctrl=[0010], signal=[1000011], alu=[0x000000000000001c], mid=[0x1fffffffffffffefe] pc=[0x0000000000000040]
[380000-2] alu_in1=[0x0000000000000000], alu_in2=[0x000000000000001c], rd_din=[0x0000000000000044], func3=[000]
[400000-1] ctrl=[1100], signal=[0000001], alu=[0x0000000000000001], mid=[0x1ffffffffffffff02] pc=[0x000000000000001c]
[400000-2] alu_in1=[0x0000000000000001], alu_in2=[0x00000000000000ff], rd_din=[0x0000000000000001], func3=[010]
[420000-1] ctrl=[1000], signal=[0100000], alu=[0x0000000000000000], mid=[0x1ffffffffffffff02] pc=[0x0000000000000020]
[420000-2] alu_in1=[0x0000000000000001], alu_in2=[0x0000000000000001], rd_din=[0x0000000000000000], func3=[000]
[440000-1] ctrl=[0111], signal=[0000001], alu=[0x0000000000000001], mid=[0x1ffffffffffffff02] pc=[0x0000000000000044]
[440000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000001], rd_din=[0x0000000000000001], func3=[100]
[460000-1] ctrl=[0010], signal=[1100001], alu=[0x0000000000000000], mid=[0x1ffffffffffffff02] pc=[0x0000000000000048]
[460000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000000], rd_din=[0x0000000000007000], func3=[111]
[480000-1] ctrl=[0010], signal=[0000001], alu=[0x0000000000000003], mid=[0x1ffffffffffffff02] pc=[0x000000000000004c]
[480000-2] alu_in1=[0x0000000000000003], alu_in2=[0x0000000000000000], rd_din=[0x000000000000e04c], func3=[110]
[500000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000001], mid=[0x1ffffffffffffff02] pc=[0x0000000000000050]
[500000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000001], rd_din=[0x00000000000000ff], func3=[100]
[520000-1] ctrl=[0010], signal=[0011011], alu=[0x0000000000000001], mid=[0x1ffffffffffffff02] pc=[0x0000000000000054]
[520000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000001], rd_din=[0x000000000000ffff], func3=[101]
[540000-1] ctrl=[0011], signal=[0000001], alu=[0x000000000007fff8], mid=[0x1ffffffffffffff02] pc=[0x0000000000000058]
[540000-2] alu_in1=[0x000000000000ffff], alu_in2=[0x0000000000000003], rd_din=[0x000000000007fff8], func3=[001]
[560000-1] ctrl=[0011], signal=[0000011], alu=[0x000000000007fff8], mid=[0x1ffffffffffffff02] pc=[0x000000000000005c]
[560000-2] alu_in1=[0x000000000000ffff], alu_in2=[0x0000000000000003], rd_din=[0x000000000007fff8], func3=[001]
[580000-1] ctrl=[0100], signal=[0000011], alu=[0x1fffffffffffffff], mid=[0x1ffffffffffffff02] pc=[0x0000000000000060]
[580000-2] alu_in1=[0xffffffffffffffff], alu_in2=[0x0000000000000003], rd_din=[0x1fffffffffffffff], func3=[101]
[600000-1] ctrl=[0101], signal=[0000001], alu=[0x1fffffffffffffff], mid=[0x1ffffffffffffff02] pc=[0x0000000000000064]
[600000-2] alu_in1=[0xffffffffffffffff], alu_in2=[0x0000000000000003], rd_din=[0x1fffffffffffffff], func3=[101]
[620000-1] ctrl=[0101], signal=[0000011], alu=[0x1fffffffffffffff], mid=[0x1ffffffffffffff02] pc=[0x0000000000000068]
[620000-2] alu_in1=[0xffffffffffffffff], alu_in2=[0x0000000000000003], rd_din=[0x1fffffffffffffff], func3=[101]
[640000-1] ctrl=[0010], signal=[0000001], alu=[0x0000000000000001], mid=[0x1ffffffffffffff02] pc=[0x000000000000006c]
[640000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000001], rd_din=[0x0000000000000001], func3=[000]
[660000-1] ctrl=[1101], signal=[0100000], alu=[0xfffffffffffffffe], mid=[0x1ffffffffffffff02] pc=[0x0000000000000070]
[660000-2] alu_in1=[0x0000000000000001], alu_in2=[0x0000000000000003], rd_din=[0xfffffffffffffffe], func3=[101]
[680000-1] ctrl=[0010], signal=[1000011], alu=[0x0000000000000004], mid=[0x1ffffffffffffff02] pc=[0x0000000000000074]
[680000-2] alu_in1=[0x0000000000000000], alu_in2=[0x0000000000000004], rd_din=[0x0000000000000078], func3=[000]
[700000-1] ctrl=[0010], signal=[1000011], alu=[0x0000000000000084], mid
